recording_id,folder_path,quality_mixed,source,rating
91,"Bill Evans Trio/Bill Evans Trio - 1980-08-09 - Molde Jazz Festival - Molde, Norway",A-,AUD,
94,"Al Di Meola, John McLaughlin and Paco de Lucía/Al Di Meola, John McLaughlin and Paco de Lucía - 1996-10-23 - Royal Festival Hall - London, UK (AUD)",B+,AUD,
95,"Al Di Meola, John McLaughlin and Paco de Lucía/Al Di Meola, John McLaughlin and Paco de Lucía - 1983-06-18 - Hammersmith Odeon - London, UK (SBD)",A,SBD,
96,"Al Di Meola, John Mclaughlin and Paco De Lucía/Al Di Meola, John Mclaughlin and Paco De Lucía - 1996-11-12 - Unknown Venue - Denver, CO (AUD)",A,AUD,
97,"Al Di Meola, John McLaughlin and Paco de Lucía/Al Di Meola, John McLaughlin and Paco de Lucía - 1996-11-24 - Symphony Hall - Boston, MA (AUD)",A-,AUD,
98,"Al Di Meola, John McLaughlin and Paco de Lucía/Al Di Meola, John McLaughlin and Paco de Lucía - 1981-04-20 - Bushnell Auditorium - Hartford, CT (AUD)",A,AUD,
99,"Al Di Meola, John McLaughlin and Paco de Lucía/Al Di Meola, John McLaughlin and Paco de Lucía - 1996-11-06 - Plummer Hall - Fullerton, CA",A-,AUD,
103,"Ahmad Jamal/Ahmad Jamal - 1971-06-25 - Studio 104 de la Maison de la Radio - Paris, France",A,Other,
106,"Ahmad Jamal/Ahmad Jamal - 2017-11-14 - Palais des Congrès - Paris, France (FM)",A+,FM,
108,"Fela Kuti/Fela Kuti - 1986-11-06 - The Opera House - Boston, MA (AUD)",A-,AUD,
109,"Fela Kuti/Fela Kuti - 1989-07-15 - City Broiler - Santa Barbara, CA (AUD)",A,AUD,
110,"Fela Kuti/Fela Kuti - 1990-07-25 - Santa Cruz Civic Center - Santa Cruz, CA (AUD)",B,AUD,
116,"Fela Kuti/Fela Kuti - 1991-07-26 - Zellerbach Hall - Berkeley, CA (AUD)",B,AUD,
117,"Ali Farka Touré/Ali Farka Touré - 1990-10-15 - Ali Farka Touré’s Home - Dofana, Mali (AUD)",A-,AUD,
118,"Fela Kuti/Fela Kuti - 1989-09-26 - Chestnut Cabaret - Philadelphia, PA (AUD)",B+,AUD,
122,"Esbjörn Svensson Trio/Esbjörn Svensson Trio - 2003-07-05 - Jazz Baltica - Bad Salzau, Germany (FM A-)",A-,FM,
134,"Esbjörn Svensson Trio/Esbjörn Svensson Trio - 2003-07-05 - Jazz Baltica - Bad Salzau, Germany (FM A)",A,FM,
144,"Esbjörn Svensson Trio/Esbjörn Svensson Trio - 2007-11-13 - Millenaris Park - Budapest, Hungary (AUD)",A+,AUD,
145,"Esbjörn Svensson Trio/Esbjörn Svensson Trio - 2008-05-25 - Teatro Miela - Trieste, Italy (SBD)",A-,SBD,
166,"Esbjörn Svensson Trio/Esbjörn Svensson Trio - 2007-12-01 - Gamla Teatern - Ostersund, Sweden (FM)",A+,FM Peterw,
167,"Esbjörn Svensson Trio/Esbjörn Svensson Trio - 1999-09-02 - Studion, Folkets Hus - Umea, Sweden (FM)",A+,FM,
170,"Kraftwerk/Kraftwerk - 1981-07-03 - Hammersmith Odeon - London, UK (AUD)",A-,AUD,
171,"Kraftwerk/Kraftwerk - 1981-06-07 - L'Olympia - Paris, France",A-,,
172,"Marvin Gaye/Marvin Gaye - 1979-11-13 - Nippon Budokan - Tokyo, Japan (SBD)",A+,FM,
176,"The Meters/The Meters - 1975-06-21 - The Boarding House - San Francisco, CA (SBD)",A,SBD,
177,"The Meters/The Meters - 1977-05-04 - The Bottom Line - New York, NY (SBD)",A,SBD,
179,"The Meters/The Meters - 1975-10-05 - Unknown Venue - Jackson, MS (SBD)",A,SBD,
181,"Chris Thile/Chris Thile - 2001-06-24 - Telluride Bluegrass Festival - Telluride, CO (AUD)",A-,AUD,
182,"Bruce Hornsby and Bela Fleck/Bruce Hornsby and Bela Fleck - 1996-04-24 - Miller Auditorium - Kalamazoo, MI (MTX)",A,MTX,
183,"Chris Thile & Friends/Chris Thile & Friends - 2000-10-21 - The Brown Room At The Galt House - Louisville, KY (SBD)",A,SBD,
185,"Bruce Hornsby/Bruce Hornsby - 1998-07-28 - Strand Theater - Eugene, OR (SBD)",A+,SBD,
189,"Ahmad Jamal Trio/Ahmad Jamal Trio - 1958-09-05 - Spotlite Club - Washington, DC (SBD)",A+,SBD,
190,"Ahmad Jamal Trio/Ahmad Jamal Trio - 1976-08-13 - Oil Can Harry's - Vancouver, BC (SBD)",A+,SBD,
196,"Acoustic All-Stars/Acoustic All-Stars - 1988-01-23 - The Birchmere - Alexandria, VA (AUD)",A,AUD,
209,"Chris Thile and David Grier/Chris Thile and David Grier - 2000-11-03 - Prism Coffeehouse - Charlottesville, VA (SBD)",A+,SBD,
241,"J.D. Crowe and the New South/J.D. Crowe and the New South - 1980 - Unknown Venue - Livonia, GA (SBD)",A+,SBD,
244,"J.D. Crowe and the New South/J.D. Crowe and the New South - 1975-07-21 - Paul's Saloon - San Francisco, CA (AUD)",B,AUD,
251,"Boone Creek/Boone Creek - 1977-09 - Camp Springs Bluegrass Festival - Reidsville, NC (SBD)",B,SBD,
252,"Boone Creek/Boone Creek - 1977-08-20 - Unknown Venue - Cement, OK (SBD)",A-,SBD,
270,"Bluegrass Sessions/Bluegrass Sessions - 1999-09-05 - Strawberry Music Festival - Yosemite, CA (FM)",A+,FM,
271,"Bluegrass Sessions/Bluegrass Sessions - 1999-10-09 - Carolina Theatre - Greensboro, NC (AUD)",A-,AUD,
273,"Bluegrass Sessions/Bluegrass Sessions - 2000-12-02 - Allen Theatre - Cleveland, OH (AUD)",A-,AUD,
291,"Bluegrass Album Band/Bluegrass Album Band - 1981-10-25 - Great American Music Hall - San Francisco, CA (SBD)",A+,SBD,
320,"Hank Williams/Hank Williams - 1949-10 - Health And Happiness Shows - Nashville, TN",A+,,
380,"Mike Marshall, Todd Phillips, Tony Rice, Darol Anger/Mike Marshall, Todd Phillips, Tony Rice, Darol Anger - 1999-11-05 - Arts & Science Center of Catawba Valley - Hickory, NC (AUD)",A+,AUD,
381,"Mike Marshall, Todd Phillips, Tony Rice, Darol Anger/Mike Marshall, Todd Phillips, Tony Rice, Darol Anger - 1999-11-06 - Arts & Science Center of Catawba Valley - Hickory, NC (AUD)",A+,AUD,
387,"Tony Rice Unit/Tony Rice Unit - 1994-12-10 - The Station Inn - Nashville, TN (SBD)",A+,SBD,
433,"Joni Mitchell/Joni Mitchell - 1967-10-12 - The Second Fret - Philadelphia, PA (FM)",A-,FM,
434,"Superpickers/Superpickers - 1989-04-11 - The Birchmere - Alexandria, VA (AUD)",A-,AUD,
437,"Joni Mitchell/Joni Mitchell - 1968-01-04 - Club 47 - Cambridge, MA (AUD)",A-,AUD,
447,"Joni Mitchell/Joni Mitchell - 1979-09-07 - San Francisco Civic Auditorium - San Francisco, CA (AUD)",B,AUD,
455,"Joni Mitchell/Joni Mitchell - 1967-09 - The Couriers Folk Club - Leicester, UK (AUD)",B,AUD,
489,"Seldom Scene/Seldom Scene - 1974-03-09 - Lisner Auditorium - Washington, DC (FM)",A+,FM,
523,"Kentucky Colonels/Kentucky Colonels - 1965 - The Cobblestone - North Hollywood, CA (SBD)",A+,SBD,
525,"Seldom Scene/Seldom Scene - 1973-03-01 - Lisner Auditorium - Washington, DC (FM)",A+,SBD,
538,"Leo Kottke/Leo Kottke - 1975-07 - VRPO Radio - Hilversum, Netherlands (Radio)",A,Radio,
541,"Dire Straits/Dire Straits - 1979-04-01 - The Boarding House - San Francisco, CA (SBD)",A,SBD,
544,"Fleetwood Mac/Fleetwood Mac - 1977-08-30 - The Forum - Inglewood, CA (AUD)",A-,AUD,
545,"Outkast/Outkast - 2000-10-16 - The House of Blues - Los Angeles, CA (MTX)",A,MTX,
546,"Outkast/Outkast - 2001-07-31 - Shoreline Ampitheatre - Mountain View, CA (AUD)",B+,AUD,
547,"Danny Gatton & Funhouse/Danny Gatton & Funhouse - 1988-06-10 - The Birchmere - Alexandria, VA (SBD)",A,SBD,
548,"Bobby McFerrin/Bobby McFerrin - 1985-07-02 - Lugano Estival Jazz - Lugano, Switzerland (SBD)",A+,SBD,
